horizonte_minutos,horizonte_texto,minuto,estacion,iaq_actual,iaq_real_futuro,iaq_predicho,error_abs
15,15 min,2026-06-23T05:25:00.000Z,Aula UPeU - Alta Afluencia,44.36,76.14,76.63,0.49
15,15 min,2026-06-23T05:26:00.000Z,Aula UPeU - Alta Afluencia,41.93,77.81,79.08,1.27
15,15 min,2026-06-23T05:27:00.000Z,Aula UPeU - Alta Afluencia,39.78,78.73,80.53,1.8
15,15 min,2026-06-23T05:28:00.000Z,Aula UPeU - Alta Afluencia,36.78,80.3,80.43,0.13
15,15 min,2026-06-23T05:29:00.000Z,Aula UPeU - Alta Afluencia,35.11,81.49,81.85,0.36
15,15 min,2026-06-23T05:30:00.000Z,Aula UPeU - Alta Afluencia,32.58,82.61,82.4,0.21
15,15 min,2026-06-23T05:31:00.000Z,Aula UPeU - Alta Afluencia,30.24,83.52,83.19,0.33
15,15 min,2026-06-23T05:32:00.000Z,Aula UPeU - Alta Afluencia,27.93,85.52,84.77,0.75
15,15 min,2026-06-23T05:33:00.000Z,Aula UPeU - Alta Afluencia,51.42,86.55,86.79,0.24
15,15 min,2026-06-23T05:34:00.000Z,Aula UPeU - Alta Afluencia,68.69,87.35,87.23,0.12
15,15 min,2026-06-23T05:35:00.000Z,Aula UPeU - Alta Afluencia,70.0,88.75,89.38,0.63
15,15 min,2026-06-23T05:36:00.000Z,Aula UPeU - Alta Afluencia,71.28,90.2,90.23,0.03
15,15 min,2026-06-23T05:37:00.000Z,Aula UPeU - Alta Afluencia,72.5,90.97,90.39,0.58
15,15 min,2026-06-23T05:38:00.000Z,Aula UPeU - Alta Afluencia,73.76,91.57,91.59,0.02
15,15 min,2026-06-23T05:39:00.000Z,Aula UPeU - Alta Afluencia,74.87,93.47,93.26,0.21
15,15 min,2026-06-23T05:40:00.000Z,Aula UPeU - Alta Afluencia,76.14,93.86,93.84,0.02
15,15 min,2026-06-23T05:41:00.000Z,Aula UPeU - Alta Afluencia,77.81,94.83,94.59,0.24
15,15 min,2026-06-23T05:42:00.000Z,Aula UPeU - Alta Afluencia,78.73,95.79,94.99,0.8
15,15 min,2026-06-23T05:43:00.000Z,Aula UPeU - Alta Afluencia,80.3,96.43,96.6,0.17
15,15 min,2026-06-23T05:44:00.000Z,Aula UPeU - Alta Afluencia,81.49,97.46,96.99,0.47
15,15 min,2026-06-23T05:45:00.000Z,Aula UPeU - Alta Afluencia,82.61,98.22,97.69,0.53
15,15 min,2026-06-23T05:46:00.000Z,Aula UPeU - Alta Afluencia,83.52,99.68,99.07,0.61
15,15 min,2026-06-23T05:47:00.000Z,Aula UPeU - Alta Afluencia,85.52,99.73,99.62,0.11
15,15 min,2026-06-23T05:48:00.000Z,Aula UPeU - Alta Afluencia,86.55,100.35,99.58,0.77
15,15 min,2026-06-23T05:49:00.000Z,Aula UPeU - Alta Afluencia,87.35,101.57,100.92,0.65
15,15 min,2026-06-23T05:50:00.000Z,Aula UPeU - Alta Afluencia,88.75,102.1,101.68,0.42
15,15 min,2026-06-23T05:51:00.000Z,Aula UPeU - Alta Afluencia,90.2,102.83,102.73,0.1
15,15 min,2026-06-23T05:52:00.000Z,Aula UPeU - Alta Afluencia,90.97,103.64,100.96,2.68
15,15 min,2026-06-23T05:53:00.000Z,Aula UPeU - Alta Afluencia,91.57,104.79,104.18,0.61
15,15 min,2026-06-23T05:54:00.000Z,Aula UPeU - Alta Afluencia,93.47,104.93,103.39,1.54
15,15 min,2026-06-23T05:55:00.000Z,Aula UPeU - Alta Afluencia,93.86,106.45,103.23,3.22
15,15 min,2026-06-23T05:56:00.000Z,Aula UPeU - Alta Afluencia,94.83,106.71,106.37,0.34
15,15 min,2026-06-23T05:57:00.000Z,Aula UPeU - Alta Afluencia,95.79,108.01,107.78,0.23
15,15 min,2026-06-23T05:58:00.000Z,Aula UPeU - Alta Afluencia,96.43,108.28,108.6,0.32
15,15 min,2026-06-23T05:59:00.000Z,Aula UPeU - Alta Afluencia,97.46,108.74,107.96,0.78
15,15 min,2026-06-23T06:00:00.000Z,Aula UPeU - Alta Afluencia,98.22,109.89,109.23,0.66
15,15 min,2026-06-23T06:01:00.000Z,Aula UPeU - Alta Afluencia,99.68,110.74,108.91,1.83
15,15 min,2026-06-23T06:02:00.000Z,Aula UPeU - Alta Afluencia,99.73,112.11,109.95,2.16
15,15 min,2026-06-23T06:03:00.000Z,Aula UPeU - Alta Afluencia,100.35,113.18,105.66,7.52
15,15 min,2026-06-23T06:04:00.000Z,Aula UPeU - Alta Afluencia,101.57,80.48,81.89,1.41
15,15 min,2026-06-23T06:05:00.000Z,Aula UPeU - Alta Afluencia,102.1,56.56,65.28,8.72
15,15 min,2026-06-23T06:06:00.000Z,Aula UPeU - Alta Afluencia,102.83,54.3,52.83,1.47
15,15 min,2026-06-23T06:07:00.000Z,Aula UPeU - Alta Afluencia,103.64,51.72,52.39,0.67
15,15 min,2026-06-23T06:08:00.000Z,Aula UPeU - Alta Afluencia,104.79,49.18,48.57,0.61
15,15 min,2026-06-23T06:09:00.000Z,Aula UPeU - Alta Afluencia,104.93,46.52,45.67,0.85
15,15 min,2026-06-23T06:10:00.000Z,Aula UPeU - Alta Afluencia,106.45,43.76,42.64,1.12
15,15 min,2026-06-23T06:11:00.000Z,Aula UPeU - Alta Afluencia,106.71,41.27,41.78,0.51
15,15 min,2026-06-23T06:12:00.000Z,Aula UPeU - Alta Afluencia,108.01,38.82,37.63,1.19
15,15 min,2026-06-23T06:13:00.000Z,Aula UPeU - Alta Afluencia,108.28,36.94,36.66,0.28
15,15 min,2026-06-23T06:14:00.000Z,Aula UPeU - Alta Afluencia,108.74,34.61,35.35,0.74
15,15 min,2026-06-23T06:15:00.000Z,Aula UPeU - Alta Afluencia,109.89,32.11,32.32,0.21
15,15 min,2026-06-23T06:16:00.000Z,Aula UPeU - Alta Afluencia,110.74,29.59,31.05,1.46
15,15 min,2026-06-23T06:17:00.000Z,Aula UPeU - Alta Afluencia,112.11,27.38,31.46,4.08
15,15 min,2026-06-23T06:18:00.000Z,Aula UPeU - Alta Afluencia,113.18,25.77,32.59,6.82
30,30 min,2026-06-23T04:38:00.000Z,Aula UPeU - Alta Afluencia,74.22,103.32,103.9,0.58
30,30 min,2026-06-23T04:39:00.000Z,Aula UPeU - Alta Afluencia,75.67,104.59,104.67,0.08
30,30 min,2026-06-23T04:40:00.000Z,Aula UPeU - Alta Afluencia,77.24,105.16,105.72,0.56
30,30 min,2026-06-23T04:41:00.000Z,Aula UPeU - Alta Afluencia,78.86,106.84,106.64,0.2
30,30 min,2026-06-23T04:42:00.000Z,Aula UPeU - Alta Afluencia,79.61,106.81,106.12,0.69
30,30 min,2026-06-23T04:43:00.000Z,Aula UPeU - Alta Afluencia,80.63,108.1,108.32,0.22
30,30 min,2026-06-23T04:44:00.000Z,Aula UPeU - Alta Afluencia,82.13,108.94,108.26,0.68
30,30 min,2026-06-23T04:45:00.000Z,Aula UPeU - Alta Afluencia,83.14,109.05,108.71,0.34
30,30 min,2026-06-23T04:46:00.000Z,Aula UPeU - Alta Afluencia,84.05,110.6,107.27,3.33
30,30 min,2026-06-23T04:47:00.000Z,Aula UPeU - Alta Afluencia,85.91,111.5,107.6,3.9
30,30 min,2026-06-23T04:48:00.000Z,Aula UPeU - Alta Afluencia,86.71,112.35,102.96,9.39
30,30 min,2026-06-23T04:49:00.000Z,Aula UPeU - Alta Afluencia,87.65,80.13,76.45,3.68
30,30 min,2026-06-23T04:50:00.000Z,Aula UPeU - Alta Afluencia,88.89,56.36,58.07,1.71
30,30 min,2026-06-23T04:51:00.000Z,Aula UPeU - Alta Afluencia,89.54,54.07,53.86,0.21
30,30 min,2026-06-23T04:52:00.000Z,Aula UPeU - Alta Afluencia,90.89,50.87,50.36,0.51
30,30 min,2026-06-23T04:53:00.000Z,Aula UPeU - Alta Afluencia,91.37,49.02,52.17,3.15
30,30 min,2026-06-23T04:54:00.000Z,Aula UPeU - Alta Afluencia,92.88,46.14,47.23,1.09
30,30 min,2026-06-23T04:55:00.000Z,Aula UPeU - Alta Afluencia,93.4,44.36,44.06,0.3
30,30 min,2026-06-23T04:56:00.000Z,Aula UPeU - Alta Afluencia,94.21,41.93,42.47,0.54
30,30 min,2026-06-23T04:57:00.000Z,Aula UPeU - Alta Afluencia,94.84,39.78,40.28,0.5
30,30 min,2026-06-23T04:58:00.000Z,Aula UPeU - Alta Afluencia,96.18,36.78,36.84,0.06
30,30 min,2026-06-23T04:59:00.000Z,Aula UPeU - Alta Afluencia,97.03,35.11,34.73,0.38
30,30 min,2026-06-23T05:00:00.000Z,Aula UPeU - Alta Afluencia,97.86,32.58,32.52,0.06
30,30 min,2026-06-23T05:01:00.000Z,Aula UPeU - Alta Afluencia,98.13,30.24,32.79,2.55
30,30 min,2026-06-23T05:02:00.000Z,Aula UPeU - Alta Afluencia,98.99,27.93,33.96,6.03
30,30 min,2026-06-23T05:03:00.000Z,Aula UPeU - Alta Afluencia,99.91,51.42,46.96,4.46
30,30 min,2026-06-23T05:04:00.000Z,Aula UPeU - Alta Afluencia,101.07,68.69,57.89,10.8
30,30 min,2026-06-23T05:05:00.000Z,Aula UPeU - Alta Afluencia,101.19,70.0,65.94,4.06
30,30 min,2026-06-23T05:06:00.000Z,Aula UPeU - Alta Afluencia,102.59,71.28,69.78,1.5
30,30 min,2026-06-23T05:07:00.000Z,Aula UPeU - Alta Afluencia,103.15,72.5,68.71,3.79
30,30 min,2026-06-23T05:08:00.000Z,Aula UPeU - Alta Afluencia,103.32,73.76,71.46,2.3
30,30 min,2026-06-23T05:09:00.000Z,Aula UPeU - Alta Afluencia,104.59,74.87,72.38,2.49
30,30 min,2026-06-23T05:10:00.000Z,Aula UPeU - Alta Afluencia,105.16,76.14,74.28,1.86
30,30 min,2026-06-23T05:11:00.000Z,Aula UPeU - Alta Afluencia,106.84,77.81,78.62,0.81
30,30 min,2026-06-23T05:12:00.000Z,Aula UPeU - Alta Afluencia,106.81,78.73,79.49,0.76
30,30 min,2026-06-23T05:13:00.000Z,Aula UPeU - Alta Afluencia,108.1,80.3,80.53,0.23
30,30 min,2026-06-23T05:14:00.000Z,Aula UPeU - Alta Afluencia,108.94,81.49,80.88,0.61
30,30 min,2026-06-23T05:15:00.000Z,Aula UPeU - Alta Afluencia,109.05,82.61,82.88,0.27
30,30 min,2026-06-23T05:16:00.000Z,Aula UPeU - Alta Afluencia,110.6,83.52,82.86,0.66
30,30 min,2026-06-23T05:17:00.000Z,Aula UPeU - Alta Afluencia,111.5,85.52,84.72,0.8
30,30 min,2026-06-23T05:18:00.000Z,Aula UPeU - Alta Afluencia,112.35,86.55,84.84,1.71
30,30 min,2026-06-23T05:19:00.000Z,Aula UPeU - Alta Afluencia,80.13,87.35,87.22,0.13
30,30 min,2026-06-23T05:20:00.000Z,Aula UPeU - Alta Afluencia,56.36,88.75,88.51,0.24
30,30 min,2026-06-23T05:21:00.000Z,Aula UPeU - Alta Afluencia,54.07,90.2,91.8,1.6
30,30 min,2026-06-23T05:22:00.000Z,Aula UPeU - Alta Afluencia,50.87,90.97,91.91,0.94
30,30 min,2026-06-23T05:23:00.000Z,Aula UPeU - Alta Afluencia,49.02,91.57,91.53,0.04
30,30 min,2026-06-23T05:24:00.000Z,Aula UPeU - Alta Afluencia,46.14,93.47,93.56,0.09
30,30 min,2026-06-23T05:25:00.000Z,Aula UPeU - Alta Afluencia,44.36,93.86,95.2,1.34
30,30 min,2026-06-23T05:26:00.000Z,Aula UPeU - Alta Afluencia,41.93,94.83,94.95,0.12
30,30 min,2026-06-23T05:27:00.000Z,Aula UPeU - Alta Afluencia,39.78,95.79,96.0,0.21
30,30 min,2026-06-23T05:28:00.000Z,Aula UPeU - Alta Afluencia,36.78,96.43,96.23,0.2
30,30 min,2026-06-23T05:29:00.000Z,Aula UPeU - Alta Afluencia,35.11,97.46,97.89,0.43
30,30 min,2026-06-23T05:30:00.000Z,Aula UPeU - Alta Afluencia,32.58,98.22,97.56,0.66
30,30 min,2026-06-23T05:31:00.000Z,Aula UPeU - Alta Afluencia,30.24,99.68,98.84,0.84
30,30 min,2026-06-23T05:32:00.000Z,Aula UPeU - Alta Afluencia,27.93,99.73,99.44,0.29
30,30 min,2026-06-23T05:33:00.000Z,Aula UPeU - Alta Afluencia,51.42,100.35,100.49,0.14
30,30 min,2026-06-23T05:34:00.000Z,Aula UPeU - Alta Afluencia,68.69,101.57,101.15,0.42
30,30 min,2026-06-23T05:35:00.000Z,Aula UPeU - Alta Afluencia,70.0,102.1,101.92,0.18
30,30 min,2026-06-23T05:36:00.000Z,Aula UPeU - Alta Afluencia,71.28,102.83,102.21,0.62
30,30 min,2026-06-23T05:37:00.000Z,Aula UPeU - Alta Afluencia,72.5,103.64,103.41,0.23
30,30 min,2026-06-23T05:38:00.000Z,Aula UPeU - Alta Afluencia,73.76,104.79,104.21,0.58
30,30 min,2026-06-23T05:39:00.000Z,Aula UPeU - Alta Afluencia,74.87,104.93,104.33,0.6
30,30 min,2026-06-23T05:40:00.000Z,Aula UPeU - Alta Afluencia,76.14,106.45,105.9,0.55
30,30 min,2026-06-23T05:41:00.000Z,Aula UPeU - Alta Afluencia,77.81,106.71,106.68,0.03
30,30 min,2026-06-23T05:42:00.000Z,Aula UPeU - Alta Afluencia,78.73,108.01,106.69,1.32
30,30 min,2026-06-23T05:43:00.000Z,Aula UPeU - Alta Afluencia,80.3,108.28,108.38,0.1
30,30 min,2026-06-23T05:44:00.000Z,Aula UPeU - Alta Afluencia,81.49,108.74,108.64,0.1
30,30 min,2026-06-23T05:45:00.000Z,Aula UPeU - Alta Afluencia,82.61,109.89,107.25,2.64
30,30 min,2026-06-23T05:46:00.000Z,Aula UPeU - Alta Afluencia,83.52,110.74,110.01,0.73
30,30 min,2026-06-23T05:47:00.000Z,Aula UPeU - Alta Afluencia,85.52,112.11,108.64,3.47
30,30 min,2026-06-23T05:48:00.000Z,Aula UPeU - Alta Afluencia,86.55,113.18,103.28,9.9
30,30 min,2026-06-23T05:49:00.000Z,Aula UPeU - Alta Afluencia,87.35,80.48,88.7,8.22
30,30 min,2026-06-23T05:50:00.000Z,Aula UPeU - Alta Afluencia,88.75,56.56,65.57,9.01
30,30 min,2026-06-23T05:51:00.000Z,Aula UPeU - Alta Afluencia,90.2,54.3,53.74,0.56
30,30 min,2026-06-23T05:52:00.000Z,Aula UPeU - Alta Afluencia,90.97,51.72,50.93,0.79
30,30 min,2026-06-23T05:53:00.000Z,Aula UPeU - Alta Afluencia,91.57,49.18,49.06,0.12
30,30 min,2026-06-23T05:54:00.000Z,Aula UPeU - Alta Afluencia,93.47,46.52,46.32,0.2
30,30 min,2026-06-23T05:55:00.000Z,Aula UPeU - Alta Afluencia,93.86,43.76,44.07,0.31
30,30 min,2026-06-23T05:56:00.000Z,Aula UPeU - Alta Afluencia,94.83,41.27,41.56,0.29
30,30 min,2026-06-23T05:57:00.000Z,Aula UPeU - Alta Afluencia,95.79,38.82,39.18,0.36
30,30 min,2026-06-23T05:58:00.000Z,Aula UPeU - Alta Afluencia,96.43,36.94,37.02,0.08
30,30 min,2026-06-23T05:59:00.000Z,Aula UPeU - Alta Afluencia,97.46,34.61,34.5,0.11
30,30 min,2026-06-23T06:00:00.000Z,Aula UPeU - Alta Afluencia,98.22,32.11,32.49,0.38
30,30 min,2026-06-23T06:01:00.000Z,Aula UPeU - Alta Afluencia,99.68,29.59,33.41,3.82
30,30 min,2026-06-23T06:02:00.000Z,Aula UPeU - Alta Afluencia,99.73,27.38,31.86,4.48
30,30 min,2026-06-23T06:03:00.000Z,Aula UPeU - Alta Afluencia,100.35,25.77,40.16,14.39
60,1 h,2026-06-23T04:38:00.000Z,Aula UPeU - Alta Afluencia,74.22,73.76,72.41,1.35
60,1 h,2026-06-23T04:39:00.000Z,Aula UPeU - Alta Afluencia,75.67,74.87,75.56,0.69
60,1 h,2026-06-23T04:40:00.000Z,Aula UPeU - Alta Afluencia,77.24,76.14,76.57,0.43
60,1 h,2026-06-23T04:41:00.000Z,Aula UPeU - Alta Afluencia,78.86,77.81,78.0,0.19
60,1 h,2026-06-23T04:42:00.000Z,Aula UPeU - Alta Afluencia,79.61,78.73,79.11,0.38
60,1 h,2026-06-23T04:43:00.000Z,Aula UPeU - Alta Afluencia,80.63,80.3,80.8,0.5
60,1 h,2026-06-23T04:44:00.000Z,Aula UPeU - Alta Afluencia,82.13,81.49,82.45,0.96
60,1 h,2026-06-23T04:45:00.000Z,Aula UPeU - Alta Afluencia,83.14,82.61,82.84,0.23
60,1 h,2026-06-23T04:46:00.000Z,Aula UPeU - Alta Afluencia,84.05,83.52,84.72,1.2
60,1 h,2026-06-23T04:47:00.000Z,Aula UPeU - Alta Afluencia,85.91,85.52,85.74,0.22
60,1 h,2026-06-23T04:48:00.000Z,Aula UPeU - Alta Afluencia,86.71,86.55,86.69,0.14
60,1 h,2026-06-23T04:49:00.000Z,Aula UPeU - Alta Afluencia,87.65,87.35,87.68,0.33
60,1 h,2026-06-23T04:50:00.000Z,Aula UPeU - Alta Afluencia,88.89,88.75,89.04,0.29
60,1 h,2026-06-23T04:51:00.000Z,Aula UPeU - Alta Afluencia,89.54,90.2,90.85,0.65
60,1 h,2026-06-23T04:52:00.000Z,Aula UPeU - Alta Afluencia,90.89,90.97,91.45,0.48
60,1 h,2026-06-23T04:53:00.000Z,Aula UPeU - Alta Afluencia,91.37,91.57,91.47,0.1
60,1 h,2026-06-23T04:54:00.000Z,Aula UPeU - Alta Afluencia,92.88,93.47,93.81,0.34
60,1 h,2026-06-23T04:55:00.000Z,Aula UPeU - Alta Afluencia,93.4,93.86,94.72,0.86
60,1 h,2026-06-23T04:56:00.000Z,Aula UPeU - Alta Afluencia,94.21,94.83,95.59,0.76
60,1 h,2026-06-23T04:57:00.000Z,Aula UPeU - Alta Afluencia,94.84,95.79,96.11,0.32
60,1 h,2026-06-23T04:58:00.000Z,Aula UPeU - Alta Afluencia,96.18,96.43,96.59,0.16
60,1 h,2026-06-23T04:59:00.000Z,Aula UPeU - Alta Afluencia,97.03,97.46,97.69,0.23
60,1 h,2026-06-23T05:00:00.000Z,Aula UPeU - Alta Afluencia,97.86,98.22,98.62,0.4
60,1 h,2026-06-23T05:01:00.000Z,Aula UPeU - Alta Afluencia,98.13,99.68,99.02,0.66
60,1 h,2026-06-23T05:02:00.000Z,Aula UPeU - Alta Afluencia,98.99,99.73,100.01,0.28
60,1 h,2026-06-23T05:03:00.000Z,Aula UPeU - Alta Afluencia,99.91,100.35,100.45,0.1
60,1 h,2026-06-23T05:04:00.000Z,Aula UPeU - Alta Afluencia,101.07,101.57,101.31,0.26
60,1 h,2026-06-23T05:05:00.000Z,Aula UPeU - Alta Afluencia,101.19,102.1,102.43,0.33
60,1 h,2026-06-23T05:06:00.000Z,Aula UPeU - Alta Afluencia,102.59,102.83,103.26,0.43
60,1 h,2026-06-23T05:07:00.000Z,Aula UPeU - Alta Afluencia,103.15,103.64,103.16,0.48
60,1 h,2026-06-23T05:08:00.000Z,Aula UPeU - Alta Afluencia,103.32,104.79,104.71,0.08
60,1 h,2026-06-23T05:09:00.000Z,Aula UPeU - Alta Afluencia,104.59,104.93,105.33,0.4
60,1 h,2026-06-23T05:10:00.000Z,Aula UPeU - Alta Afluencia,105.16,106.45,106.49,0.04
60,1 h,2026-06-23T05:11:00.000Z,Aula UPeU - Alta Afluencia,106.84,106.71,107.25,0.54
60,1 h,2026-06-23T05:12:00.000Z,Aula UPeU - Alta Afluencia,106.81,108.01,107.94,0.07
60,1 h,2026-06-23T05:13:00.000Z,Aula UPeU - Alta Afluencia,108.1,108.28,108.57,0.29
60,1 h,2026-06-23T05:14:00.000Z,Aula UPeU - Alta Afluencia,108.94,108.74,108.75,0.01
60,1 h,2026-06-23T05:15:00.000Z,Aula UPeU - Alta Afluencia,109.05,109.89,110.27,0.38
60,1 h,2026-06-23T05:16:00.000Z,Aula UPeU - Alta Afluencia,110.6,110.74,110.7,0.04
60,1 h,2026-06-23T05:17:00.000Z,Aula UPeU - Alta Afluencia,111.5,112.11,111.31,0.8
60,1 h,2026-06-23T05:18:00.000Z,Aula UPeU - Alta Afluencia,112.35,113.18,111.59,1.59
60,1 h,2026-06-23T05:19:00.000Z,Aula UPeU - Alta Afluencia,80.13,80.48,83.41,2.93
60,1 h,2026-06-23T05:20:00.000Z,Aula UPeU - Alta Afluencia,56.36,56.56,63.09,6.53
60,1 h,2026-06-23T05:21:00.000Z,Aula UPeU - Alta Afluencia,54.07,54.3,54.96,0.66
60,1 h,2026-06-23T05:22:00.000Z,Aula UPeU - Alta Afluencia,50.87,51.72,52.3,0.58
60,1 h,2026-06-23T05:23:00.000Z,Aula UPeU - Alta Afluencia,49.02,49.18,49.58,0.4
60,1 h,2026-06-23T05:24:00.000Z,Aula UPeU - Alta Afluencia,46.14,46.52,47.37,0.85
60,1 h,2026-06-23T05:25:00.000Z,Aula UPeU - Alta Afluencia,44.36,43.76,45.32,1.56
60,1 h,2026-06-23T05:26:00.000Z,Aula UPeU - Alta Afluencia,41.93,41.27,44.45,3.18
60,1 h,2026-06-23T05:27:00.000Z,Aula UPeU - Alta Afluencia,39.78,38.82,40.69,1.87
60,1 h,2026-06-23T05:28:00.000Z,Aula UPeU - Alta Afluencia,36.78,36.94,38.26,1.32
60,1 h,2026-06-23T05:29:00.000Z,Aula UPeU - Alta Afluencia,35.11,34.61,35.75,1.14
60,1 h,2026-06-23T05:30:00.000Z,Aula UPeU - Alta Afluencia,32.58,32.11,33.97,1.86
60,1 h,2026-06-23T05:31:00.000Z,Aula UPeU - Alta Afluencia,30.24,29.59,30.85,1.26
60,1 h,2026-06-23T05:32:00.000Z,Aula UPeU - Alta Afluencia,27.93,27.38,30.04,2.66
60,1 h,2026-06-23T05:33:00.000Z,Aula UPeU - Alta Afluencia,51.42,25.77,39.01,13.24
